--Pokemon Base Stats & Types--
NUM|NAME      |TYPE             |  HP| ATK| DEF| SPE|SATK|SDEF|ABILITY1    |ABILITY2    |ITEM
  1|BULBIZARRE|FIRE             |  49|  65|  65|  45|  49|  45|CORPS SAIN  |INSOMNIA    |CT01 (common), PIERREFOUDRE (rare)
  2|HERBIZARRE|FIRE             |  62|  80|  80|  60|  63|  60|CORPS SAIN  |INSOMNIA    |FOUL. ROUGE (100%)
  3|FLORIZARRE|FIRE             |  82| 100| 100|  80|  83|  80|CORPS SAIN  |INSOMNIA    |PIECE RUNE (common)
  4|SALAMECHE |FIRE             |  39|  52|  43|  60|  50|  65|MAGNEPIEGE  |-------     |
  5|REPTINCEL |FIRE             |  58|  64|  58|  80|  65|  80|MAGNEPIEGE  |-------     |RAPPEL (common)
  6|DRACAUFEU |FIRE             |  78|  84|  78| 109|  85| 100|MAGNEPIEGE  |-------     |CT01 (100%)
  7|CARAPUCE  |PSYCHIC          |  65|  48|  50|  44|  43|  64|SYNCHRO     |SUINTEMENT  |BIS BALL (common)
  8|CARABAFFE |PSYCHIC          |  80|  63|  65|  59|  58|  80|SYNCHRO     |SUINTEMENT  |FLUTE BLEUE (100%)
  9|TORTANK   |PSYCHIC          | 100|  83|  85|  79|  78| 105|SYNCHRO     |SUINTEMENT  |
 10|CHENIPAN  |FLYING           |  30|  45|  45|  20|  35|  20|COQUE ARMURE|-------     |BAIE FIGUY (common)
 11|CHRYSACIER|FLYING           |  20|  30|  50|  25|  55|  25|COQUE ARMURE|-------     |FLUTEBLANCHE (rare)
 12|PAPILUSION|FLYING           |  45|  70|  60|  80|  50|  90|COQUE ARMURE|-------     |
 13|ASPICOT   |BUG              |  35|  50|  40|  20|  30|  20|HYPER CUTTER|ARMURBASTON |
 14|COCONFORT |BUG              |  25|  35|  45|  25|  50|  25|HYPER CUTTER|ARMURBASTON |
 15|DARDARGNAN|BUG/STEEL        |  90|  75|  65|  45|  40|  80|HYPER CUTTER|ARMURBASTON |LETTRE SONGE (common), FLUTE NOIRE (rare)
 16|ROUCOOL   |DARK/FIRE        |  56|  35|  40|  35|  45|  40|JOLI SOURIRE|FERMETE     |
 17|ROUCOUPS  |DARK/FIRE        |  71|  50|  63|  50|  60|  55|JOLI SOURIRE|FERMETE     |HONOR BALL (common)
 18|ROUCARNAGE|DARK/FIRE        | 101|  70|  83|  70|  80|  75|JOLI SOURIRE|FERMETE     |SUPER BONBON (common), ROSEE AME (rare)
 19|RATTATA   |ICE              |  25|  72|  35|  56|  35|  30|MATINAL     |PIEGE       |
 20|RATTATAC  |ICE              |  50|  97|  60|  81|  70|  55|MATINAL     |PIEGE       |LAVA COOKIE (100%)
 21|PIAFABEC  |PSYCHIC/FIRE     |  60|  30|  31|  40|  70|  31|ARMUMAGMA   |TORCHE      |TESSON VERT (common)
 22|RAPASDEPIC|PSYCHIC/FIRE     |  90|  65|  61|  65| 100|  61|ARMUMAGMA   |TORCHE      |FLUTE ROUGE (rare)
 23|ABO       |FLYING/NORMAL    |  40|  44|  60|  54|  35|  55|CORPS ARDENT|IGNIFU-VOILE|CUILLERTORDU (common)
 24|ARBOK     |FLYING/NORMAL    |  65|  69|  85|  79|  60|  80|CORPS ARDENT|IGNIFU-VOILE|
 25|PIKACHU   |BUG/ICE          |  90|  50|  40|  50|  55|  35|CORPS SAIN  |-------     |CT04 (100%)
 26|RAICHU    |BUG/ICE          | 110|  90|  55|  80|  90|  60|CORPS SAIN  |-------     |
 27|SABELETTE |WATER            |  75|  40|  20|  85|  50|  30|MARQUE OMBRE|JOLI SOURIRE|ANTI-BRULE (rare)
 28|SABLAIREAU|WATER/ELECTRIC   | 100|  65|  45| 110|  75|  55|MARQUE OMBRE|JOLI SOURIRE|BAIE ORAN (common), HONOR BALL (rare)
 29|NIDORAN♀  |DARK             |  40|  47|  40|  52|  55|  41|CRACHIN     |MINUS       |MAX REPOUSSE (100%)
 30|NIDORINA  |DARK             |  55|  62|  55|  67|  70|  56|CRACHIN     |MINUS       |
 31|NIDOQUEEN |DARK             |  85|  92|  75|  87|  90|  76|CRACHIN     |MINUS       |
 32|NIDORAN♂  |FIGHTING         |  40|  46|  57|  50|  40|  40|GLUE        |GLISSADE    |
 33|NIDORINO  |FIGHTING         |  55|  61|  72|  65|  55|  57|GLUE        |GLISSADE    |CT08 (rare)
 34|NIDOKING  |FIGHTING         |  75|  81| 102|  85|  85|  77|GLUE        |GLISSADE    |
 35|MELOFEE   |BUG              |  45|  48|  35|  70|  60|  65|ABSORB VOLT |-------     |EAU FRAICHE (rare)
 36|MELODELFE |BUG              |  70|  73|  60|  95|  95|  90|ABSORB VOLT |-------     |
 37|GOUPIX    |ICE/FLYING       |  50|  65|  38|  65|  40|  41|IGNIFU-VOILE|-------     |FLUTEBLANCHE (100%)
 38|FEUNARD   |ICE/FLYING       |  81| 100|  73| 100|  75|  76|IGNIFU-VOILE|-------     |PIERRE FEU (100%)
 39|RONDOUDOU |GHOST            | 115|  45|  20|  45|  20|  25|GARDE MYSTIK|-------     |BAIE LINGAN (common)
 40|GRODOUDOU |GHOST/FLYING     | 140|  85|  45|  70|  45|  50|GARDE MYSTIK|-------     |TESSON BLEU (common)
 41|NOSFERAPTI|ICE              |  45|  40|  55|  35|  40|  30|SECHERESSE  |OEIL COMPOSE|SAFARI BALL (common), RUNE SORT (rare)
 42|NOSFERALTO|ICE              |  80|  75|  90|  70|  75|  65|SECHERESSE  |OEIL COMPOSE|
 43|MYSTHERBE |ELECTRIC         |  55|  65|  45|  50|  75|  30|BRASIER     |SABLE VOLANT|
 44|ORTIDE    |ELECTRIC         |  70|  75|  60|  65|  85|  40|BRASIER     |SABLE VOLANT|FAIBLO BALL (rare)
 45|RAFFLESIA |FIGHTING/FLYING  |  75|  90| 110|  85|  50|  80|CALQUE      |-------     |
 46|PARAS     |FLYING/NORMAL    |  55|  70|  35|  45|  55|  25|ARMUMAGMA   |LEVITATION  |SPECIAL + (rare)
 47|PARASECT  |FLYING/NORMAL    |  80|  95|  60|  60|  80|  30|ARMUMAGMA   |LEVITATION  |PETIT CHAMPI (common)
